User_ID,Total_Sessions,Avg_Session_Length_Min,Courses_Completed,Days_Since_Last_Login,Feedback_Text
1,23,25.3,2,46,I want more advanced-level content.
2,14,9.3,2,30,Content is outdated.
3,24,18.5,1,30,App is amazing and easy to use.
4,16,13.5,3,2,Subscription is too expensive.
5,29,16.8,2,38,Helpful for beginners.
6,17,20.3,3,29,I want more advanced-level content.
7,19,13.0,1,37,I want more advanced-level content.
8,17,17.8,1,10,Helpful for beginners.
9,25,11.7,0,58,Not enough language support.
10,18,17.3,3,5,Subscription is too expensive.
11,24,12.2,1,46,Helpful for beginners.
12,12,13.3,2,51,Slow loading times ruin the experience.
13,25,12.8,1,49,Not enough language support.
14,22,13.5,3,55,Slow loading times ruin the experience.
15,20,14.0,1,50,Content is outdated.
16,23,12.9,3,19,I want more advanced-level content.
17,27,4.5,3,17,I wish there were more practical examples.
18,21,19.2,3,32,Loved the UI and smooth performance!
19,24,11.3,1,57,I want more advanced-level content.
20,28,19.7,0,59,App is amazing and easy to use.
21,25,20.1,1,3,Content is outdated.
22,13,6.2,1,1,I want more advanced-level content.
23,21,19.2,1,32,App is amazing and easy to use.
24,23,11.6,2,3,App is amazing and easy to use.
25,23,16.0,2,19,App is amazing and easy to use.
26,26,11.4,2,28,Loved the UI and smooth performance!
27,34,22.2,6,9,I wish there were more practical examples.
28,23,16.2,2,46,Loved the UI and smooth performance!
29,10,12.0,1,48,Slow loading times ruin the experience.
30,18,3.0,2,58,App is amazing and easy to use.
31,18,13.5,0,35,Helpful for beginners.
32,18,9.5,7,14,Slow loading times ruin the experience.
33,17,13.6,3,20,Not enough language support.
34,22,10.2,2,20,App is amazing and easy to use.
35,18,13.8,5,52,Not enough language support.
36,19,16.4,0,17,Slow loading times ruin the experience.
37,18,12.1,3,48,App is amazing and easy to use.
38,19,12.2,1,48,I wish there were more practical examples.
39,16,19.9,1,55,Helpful for beginners.
40,15,11.3,1,37,Loved the UI and smooth performance!
41,21,19.8,3,49,Not enough language support.
42,20,13.7,0,40,I wish there were more practical examples.
43,15,17.1,1,22,Loved the UI and smooth performance!
44,25,11.2,1,30,Content is outdated.
45,18,13.0,0,41,Helpful for beginners.
46,21,8.7,2,57,Helpful for beginners.
47,12,14.4,2,22,Subscription is too expensive.
48,18,10.2,1,41,Too many bugs and crashes lately.
49,19,16.3,2,47,App is amazing and easy to use.
50,22,17.7,4,10,I wish there were more practical examples.
51,15,19.5,1,3,Not enough language support.
52,18,12.9,3,14,Too many bugs and crashes lately.
53,17,14.1,2,55,Too many bugs and crashes lately.
54,19,11.8,0,35,Too many bugs and crashes lately.
55,25,19.4,2,35,Too many bugs and crashes lately.
56,22,13.2,3,7,Not enough language support.
57,23,12.2,2,49,Too many bugs and crashes lately.
58,24,6.4,3,15,Helpful for beginners.
59,9,12.2,0,52,Loved the UI and smooth performance!
60,18,13.3,1,18,Content is outdated.
61,14,9.9,0,12,Helpful for beginners.
62,31,11.0,3,30,Content is outdated.
63,20,17.7,3,13,Content is outdated.
64,28,11.8,6,54,App is amazing and easy to use.
65,14,9.6,4,18,Helpful for beginners.
66,21,10.7,1,4,Too many bugs and crashes lately.
67,20,14.5,5,41,App is amazing and easy to use.
68,14,21.3,3,31,Slow loading times ruin the experience.
69,27,24.5,4,25,Subscription is too expensive.
70,19,15.4,2,27,Slow loading times ruin the experience.
71,17,16.0,1,58,Slow loading times ruin the experience.
72,26,14.7,2,18,Helpful for beginners.
73,22,17.9,1,4,Loved the UI and smooth performance!
74,24,11.8,1,59,Content is outdated.
75,17,17.0,3,46,App is amazing and easy to use.
76,20,20.2,2,6,Subscription is too expensive.
77,23,20.8,2,45,Subscription is too expensive.
78,17,22.9,2,55,Too many bugs and crashes lately.
79,11,13.0,2,47,I want more advanced-level content.
80,20,9.2,2,9,I wish there were more practical examples.
81,19,14.1,2,11,Subscription is too expensive.
82,22,9.9,2,43,Subscription is too expensive.
83,20,11.2,4,22,I want more advanced-level content.
84,19,15.4,4,22,I want more advanced-level content.
85,16,11.2,1,56,I wish there were more practical examples.
86,22,10.3,4,10,Helpful for beginners.
87,28,18.0,2,31,App is amazing and easy to use.
88,22,18.0,1,59,Too many bugs and crashes lately.
89,22,12.9,3,15,Slow loading times ruin the experience.
90,24,18.6,0,1,Not enough language support.
